disagreement_id,kind,session_id,event_name,reference_frame,decision,consensus_reference_frame,consensus_x_px,consensus_y_px,adjudication_status,reason,adjudicator_id
D0162,point,57660e2f-8425-445f-bca0-17c6e557f1b0,,113,mean,113,67.0,424.0,resolved,pixel mean of Ivan and Daria clicks (disclosed mean rule),Ivan Syniuk
D0163,point,57660e2f-8425-445f-bca0-17c6e557f1b0,,213,mean,213,71.0,232.5,resolved,pixel mean of Ivan and Daria clicks (disclosed mean rule),Ivan Syniuk
D0164,point,57660e2f-8425-445f-bca0-17c6e557f1b0,,233,mean,233,461.0,885.5,resolved,pixel mean of Ivan and Daria clicks (disclosed mean rule),Ivan Syniuk
D0165,point,57660e2f-8425-445f-bca0-17c6e557f1b0,,265,mean,265,289.0,322.5,resolved,pixel mean of Ivan and Daria clicks (disclosed mean rule),Ivan Syniuk
D0166,point,57660e2f-8425-445f-bca0-17c6e557f1b0,,285,mean,285,46.5,5.5,resolved,pixel mean of Ivan and Daria clicks (disclosed mean rule),Ivan Syniuk
D0167,point,7473617c-26a8-428f-9ba6-fc51dd7d2156,,1,mean,1,890.0,1592.0,resolved,pixel mean of Ivan and Daria clicks (disclosed mean rule),Ivan Syniuk
D0168,point,7473617c-26a8-428f-9ba6-fc51dd7d2156,,26,mean,26,257.0,336.0,resolved,pixel mean of Ivan and Daria clicks (disclosed mean rule),Ivan Syniuk
D0169,point,7473617c-26a8-428f-9ba6-fc51dd7d2156,,47,mean,47,362.5,94.5,resolved,pixel mean of Ivan and Daria clicks (disclosed mean rule),Ivan Syniuk
D0170,point,7473617c-26a8-428f-9ba6-fc51dd7d2156,,59,mean,59,809.5,1531.0,resolved,pixel mean of Ivan and Daria clicks (disclosed mean rule),Ivan Syniuk
D0171,point,7473617c-26a8-428f-9ba6-fc51dd7d2156,,63,mean,63,521.5,1073.0,resolved,pixel mean of Ivan and Daria clicks (disclosed mean rule),Ivan Syniuk
D0172,point,7473617c-26a8-428f-9ba6-fc51dd7d2156,,67,mean,67,57.5,348.5,resolved,pixel mean of Ivan and Daria clicks (disclosed mean rule),Ivan Syniuk
D0173,point,7f7bf52f-1a8f-4c38-8d68-41b634af50ab,,3,mean,3,1268.0,944.0,resolved,pixel mean of Ivan and Daria clicks (disclosed mean rule),Ivan Syniuk
D0174,point,7f7bf52f-1a8f-4c38-8d68-41b634af50ab,,26,mean,26,658.5,131.5,resolved,pixel mean of Ivan and Daria clicks (disclosed mean rule),Ivan Syniuk
D0175,point,7f7bf52f-1a8f-4c38-8d68-41b634af50ab,,36,mean,36,839.0,276.5,resolved,pixel mean of Ivan and Daria clicks (disclosed mean rule),Ivan Syniuk
D0176,point,7f7bf52f-1a8f-4c38-8d68-41b634af50ab,,43,mean,43,726.5,663.5,resolved,pixel mean of Ivan and Daria clicks (disclosed mean rule),Ivan Syniuk
D0177,point,7f7bf52f-1a8f-4c38-8d68-41b634af50ab,,45,mean,45,1225.0,902.5,resolved,pixel mean of Ivan and Daria clicks (disclosed mean rule),Ivan Syniuk
D0178,point,7f7bf52f-1a8f-4c38-8d68-41b634af50ab,,50,mean,50,521.5,17.5,resolved,pixel mean of Ivan and Daria clicks (disclosed mean rule),Ivan Syniuk
D0179,point,81681211-21c8-4d55-9d89-095b3a80d022,,59,mean,59,859.5,1565.5,resolved,pixel mean of Ivan and Daria clicks (disclosed mean rule),Ivan Syniuk
D0180,point,81681211-21c8-4d55-9d89-095b3a80d022,,273,mean,273,237.5,522.0,resolved,pixel mean of Ivan and Daria clicks (disclosed mean rule),Ivan Syniuk
D0181,point,81681211-21c8-4d55-9d89-095b3a80d022,,502,mean,502,256.5,750.0,resolved,pixel mean of Ivan and Daria clicks (disclosed mean rule),Ivan Syniuk
D0182,point,81681211-21c8-4d55-9d89-095b3a80d022,,522,mean,522,700.5,1410.5,resolved,pixel mean of Ivan and Daria clicks (disclosed mean rule),Ivan Syniuk
D0183,point,81681211-21c8-4d55-9d89-095b3a80d022,,547,mean,547,752.5,1452.5,resolved,pixel mean of Ivan and Daria clicks (disclosed mean rule),Ivan Syniuk
D0184,point,81681211-21c8-4d55-9d89-095b3a80d022,,562,mean,562,602.0,1142.0,resolved,pixel mean of Ivan and Daria clicks (disclosed mean rule),Ivan Syniuk
D0185,point,82b83897-42aa-447f-82ea-5e471706e7c5,,3,mean,3,918.5,1492.5,resolved,pixel mean of Ivan and Daria clicks (disclosed mean rule),Ivan Syniuk
D0186,point,82b83897-42aa-447f-82ea-5e471706e7c5,,27,mean,27,22.5,42.5,resolved,pixel mean of Ivan and Daria clicks (disclosed mean rule),Ivan Syniuk
D0187,point,82b83897-42aa-447f-82ea-5e471706e7c5,,41,mean,41,209.0,288.5,resolved,pixel mean of Ivan and Daria clicks (disclosed mean rule),Ivan Syniuk
D0188,point,82b83897-42aa-447f-82ea-5e471706e7c5,,50,mean,50,659.5,1285.0,resolved,pixel mean of Ivan and Daria clicks (disclosed mean rule),Ivan Syniuk
D0189,point,82b83897-42aa-447f-82ea-5e471706e7c5,,53,mean,53,906.0,1381.0,resolved,pixel mean of Ivan and Daria clicks (disclosed mean rule),Ivan Syniuk
D0190,point,82b83897-42aa-447f-82ea-5e471706e7c5,,57,mean,57,244.5,429.0,resolved,pixel mean of Ivan and Daria clicks (disclosed mean rule),Ivan Syniuk
D0191,point,82f22494-5871-41de-aebc-9d2012ce6571,,1,mean,1,293.5,877.0,resolved,pixel mean of Ivan and Daria clicks (disclosed mean rule),Ivan Syniuk
D0192,point,82f22494-5871-41de-aebc-9d2012ce6571,,21,mean,21,7.5,143.0,resolved,pixel mean of Ivan and Daria clicks (disclosed mean rule),Ivan Syniuk
D0193,point,82f22494-5871-41de-aebc-9d2012ce6571,,27,mean,27,120.0,83.5,resolved,pixel mean of Ivan and Daria clicks (disclosed mean rule),Ivan Syniuk
D0194,point,82f22494-5871-41de-aebc-9d2012ce6571,,32,mean,32,109.5,844.5,resolved,pixel mean of Ivan and Daria clicks (disclosed mean rule),Ivan Syniuk
D0195,point,82f22494-5871-41de-aebc-9d2012ce6571,,34,mean,34,441.0,739.0,resolved,pixel mean of Ivan and Daria clicks (disclosed mean rule),Ivan Syniuk
D0196,point,82f22494-5871-41de-aebc-9d2012ce6571,,36,mean,36,499.5,401.5,resolved,pixel mean of Ivan and Daria clicks (disclosed mean rule),Ivan Syniuk
D0197,point,b95e3543-d28d-49db-be02-bbee7efb8425,,0,mean,0,1311.0,959.5,resolved,pixel mean of Ivan and Daria clicks (disclosed mean rule),Ivan Syniuk
D0198,point,b95e3543-d28d-49db-be02-bbee7efb8425,,14,mean,14,719.5,176.5,resolved,pixel mean of Ivan and Daria clicks (disclosed mean rule),Ivan Syniuk
D0199,point,b95e3543-d28d-49db-be02-bbee7efb8425,,27,mean,27,802.0,24.0,resolved,pixel mean of Ivan and Daria clicks (disclosed mean rule),Ivan Syniuk
D0200,point,b95e3543-d28d-49db-be02-bbee7efb8425,,35,mean,35,852.0,583.0,resolved,pixel mean of Ivan and Daria clicks (disclosed mean rule),Ivan Syniuk
D0201,point,b95e3543-d28d-49db-be02-bbee7efb8425,,38,mean,38,1321.5,925.5,resolved,pixel mean of Ivan and Daria clicks (disclosed mean rule),Ivan Syniuk
D0202,point,b95e3543-d28d-49db-be02-bbee7efb8425,,41,mean,41,851.0,283.5,resolved,pixel mean of Ivan and Daria clicks (disclosed mean rule),Ivan Syniuk
D0203,point,ba749048-28f5-497e-8d85-fcbcfedb6f8c,,64,mean,64,527.5,1638.0,resolved,pixel mean of Ivan and Daria clicks (disclosed mean rule),Ivan Syniuk
D0204,point,ba749048-28f5-497e-8d85-fcbcfedb6f8c,,116,mean,116,526.0,637.5,resolved,pixel mean of Ivan and Daria clicks (disclosed mean rule),Ivan Syniuk
D0205,point,ba749048-28f5-497e-8d85-fcbcfedb6f8c,,143,mean,143,129.0,1032.5,resolved,pixel mean of Ivan and Daria clicks (disclosed mean rule),Ivan Syniuk
D0206,point,ba749048-28f5-497e-8d85-fcbcfedb6f8c,,147,mean,147,717.0,1627.0,resolved,pixel mean of Ivan and Daria clicks (disclosed mean rule),Ivan Syniuk
D0207,point,ba749048-28f5-497e-8d85-fcbcfedb6f8c,,159,mean,159,1037.0,485.0,resolved,pixel mean of Ivan and Daria clicks (disclosed mean rule),Ivan Syniuk
D0208,point,ba749048-28f5-497e-8d85-fcbcfedb6f8c,,173,mean,173,560.5,364.5,resolved,pixel mean of Ivan and Daria clicks (disclosed mean rule),Ivan Syniuk
D0209,point,c638dd17-dbb3-4068-bb40-957442fe9ec9,,33,mean,33,546.5,1031.5,resolved,pixel mean of Ivan and Daria clicks (disclosed mean rule),Ivan Syniuk
D0210,point,c638dd17-dbb3-4068-bb40-957442fe9ec9,,134,mean,134,451.0,666.0,resolved,pixel mean of Ivan and Daria clicks (disclosed mean rule),Ivan Syniuk
D0211,point,c638dd17-dbb3-4068-bb40-957442fe9ec9,,151,mean,151,403.0,608.5,resolved,pixel mean of Ivan and Daria clicks (disclosed mean rule),Ivan Syniuk
D0212,point,c638dd17-dbb3-4068-bb40-957442fe9ec9,,225,mean,225,366.0,525.5,resolved,pixel mean of Ivan and Daria clicks (disclosed mean rule),Ivan Syniuk
D0213,point,c638dd17-dbb3-4068-bb40-957442fe9ec9,,277,mean,277,545.0,760.5,resolved,pixel mean of Ivan and Daria clicks (disclosed mean rule),Ivan Syniuk
D0214,point,c638dd17-dbb3-4068-bb40-957442fe9ec9,,323,mean,323,317.0,722.5,resolved,pixel mean of Ivan and Daria clicks (disclosed mean rule),Ivan Syniuk
D0215,point,dfd57aa0-581d-4580-bc43-2a329277309b,,58,mean,58,590.0,1069.0,resolved,pixel mean of Ivan and Daria clicks (disclosed mean rule),Ivan Syniuk
D0216,point,dfd57aa0-581d-4580-bc43-2a329277309b,,110,mean,110,218.5,500.5,resolved,pixel mean of Ivan and Daria clicks (disclosed mean rule),Ivan Syniuk
D0217,point,dfd57aa0-581d-4580-bc43-2a329277309b,,154,mean,154,243.0,366.0,resolved,pixel mean of Ivan and Daria clicks (disclosed mean rule),Ivan Syniuk
D0218,point,dfd57aa0-581d-4580-bc43-2a329277309b,,179,mean,179,524.5,868.5,resolved,pixel mean of Ivan and Daria clicks (disclosed mean rule),Ivan Syniuk
D0219,point,dfd57aa0-581d-4580-bc43-2a329277309b,,187,mean,187,538.5,1032.5,resolved,pixel mean of Ivan and Daria clicks (disclosed mean rule),Ivan Syniuk
D0220,point,dfd57aa0-581d-4580-bc43-2a329277309b,,197,mean,197,213.0,416.5,resolved,pixel mean of Ivan and Daria clicks (disclosed mean rule),Ivan Syniuk
D0221,point,e7490da1-a2fa-4e53-ab66-4e9927d0b4d3,,0,mean,0,979.5,1473.0,resolved,pixel mean of Ivan and Daria clicks (disclosed mean rule),Ivan Syniuk
D0222,point,e7490da1-a2fa-4e53-ab66-4e9927d0b4d3,,17,mean,17,60.0,427.0,resolved,pixel mean of Ivan and Daria clicks (disclosed mean rule),Ivan Syniuk
D0223,point,e7490da1-a2fa-4e53-ab66-4e9927d0b4d3,,32,mean,32,346.5,637.5,resolved,pixel mean of Ivan and Daria clicks (disclosed mean rule),Ivan Syniuk
D0224,point,e7490da1-a2fa-4e53-ab66-4e9927d0b4d3,,39,mean,39,99.0,634.5,resolved,pixel mean of Ivan and Daria clicks (disclosed mean rule),Ivan Syniuk
D0225,point,e7490da1-a2fa-4e53-ab66-4e9927d0b4d3,,43,mean,43,914.0,1308.5,resolved,pixel mean of Ivan and Daria clicks (disclosed mean rule),Ivan Syniuk
D0226,point,e7490da1-a2fa-4e53-ab66-4e9927d0b4d3,,47,mean,47,204.5,501.5,resolved,pixel mean of Ivan and Daria clicks (disclosed mean rule),Ivan Syniuk
D0227,point,e940142a-d4bc-4cee-a6de-828b05ab40a7,,1,mean,1,744.5,1004.0,resolved,pixel mean of Ivan and Daria clicks (disclosed mean rule),Ivan Syniuk
D0228,point,e940142a-d4bc-4cee-a6de-828b05ab40a7,,25,mean,25,1248.5,163.0,resolved,pixel mean of Ivan and Daria clicks (disclosed mean rule),Ivan Syniuk
D0229,point,e940142a-d4bc-4cee-a6de-828b05ab40a7,,34,mean,34,993.0,346.5,resolved,pixel mean of Ivan and Daria clicks (disclosed mean rule),Ivan Syniuk
D0230,point,e940142a-d4bc-4cee-a6de-828b05ab40a7,,39,mean,39,1145.5,249.5,resolved,pixel mean of Ivan and Daria clicks (disclosed mean rule),Ivan Syniuk
D0231,point,e940142a-d4bc-4cee-a6de-828b05ab40a7,,43,mean,43,750.0,1033.5,resolved,pixel mean of Ivan and Daria clicks (disclosed mean rule),Ivan Syniuk
D0232,point,e940142a-d4bc-4cee-a6de-828b05ab40a7,,49,mean,49,1107.0,299.0,resolved,pixel mean of Ivan and Daria clicks (disclosed mean rule),Ivan Syniuk
D0233,point,eb859af6-2991-42e4-9345-05d3baf63c6e,,2,mean,2,667.5,1068.5,resolved,pixel mean of Ivan and Daria clicks (disclosed mean rule),Ivan Syniuk
D0234,point,eb859af6-2991-42e4-9345-05d3baf63c6e,,111,mean,111,54.0,150.0,resolved,pixel mean of Ivan and Daria clicks (disclosed mean rule),Ivan Syniuk
D0235,point,eb859af6-2991-42e4-9345-05d3baf63c6e,,170,mean,170,110.5,368.5,resolved,pixel mean of Ivan and Daria clicks (disclosed mean rule),Ivan Syniuk
D0236,point,eb859af6-2991-42e4-9345-05d3baf63c6e,,229,mean,229,367.5,817.5,resolved,pixel mean of Ivan and Daria clicks (disclosed mean rule),Ivan Syniuk
D0237,point,eb859af6-2991-42e4-9345-05d3baf63c6e,,247,mean,247,556.5,898.0,resolved,pixel mean of Ivan and Daria clicks (disclosed mean rule),Ivan Syniuk
D0238,point,eb859af6-2991-42e4-9345-05d3baf63c6e,,265,mean,265,114.5,422.0,resolved,pixel mean of Ivan and Daria clicks (disclosed mean rule),Ivan Syniuk
D0239,point,ed241630-f662-4957-b17f-1f485cf04683,,1,mean,1,895.5,1633.0,resolved,pixel mean of Ivan and Daria clicks (disclosed mean rule),Ivan Syniuk
D0240,point,ed241630-f662-4957-b17f-1f485cf04683,,33,mean,33,498.5,1150.0,resolved,pixel mean of Ivan and Daria clicks (disclosed mean rule),Ivan Syniuk
D0241,point,ed241630-f662-4957-b17f-1f485cf04683,,55,mean,55,238.0,575.0,resolved,pixel mean of Ivan and Daria clicks (disclosed mean rule),Ivan Syniuk
D0242,point,ed241630-f662-4957-b17f-1f485cf04683,,67,mean,67,668.5,1426.5,resolved,pixel mean of Ivan and Daria clicks (disclosed mean rule),Ivan Syniuk
D0243,point,ed241630-f662-4957-b17f-1f485cf04683,,68,mean,68,877.5,1530.0,resolved,pixel mean of Ivan and Daria clicks (disclosed mean rule),Ivan Syniuk
D0244,point,ed241630-f662-4957-b17f-1f485cf04683,,73,mean,73,169.5,627.5,resolved,pixel mean of Ivan and Daria clicks (disclosed mean rule),Ivan Syniuk
D0245,point,f0647c16-5b92-48b6-a06a-d05d86fe8145,,9,mean,9,1175.5,1049.5,resolved,pixel mean of Ivan and Daria clicks (disclosed mean rule),Ivan Syniuk
D0246,point,f0647c16-5b92-48b6-a06a-d05d86fe8145,,35,mean,35,793.5,113.5,resolved,pixel mean of Ivan and Daria clicks (disclosed mean rule),Ivan Syniuk
D0247,point,f0647c16-5b92-48b6-a06a-d05d86fe8145,,45,mean,45,831.5,124.0,resolved,pixel mean of Ivan and Daria clicks (disclosed mean rule),Ivan Syniuk
D0248,point,f0647c16-5b92-48b6-a06a-d05d86fe8145,,54,mean,54,1175.5,1022.0,resolved,pixel mean of Ivan and Daria clicks (disclosed mean rule),Ivan Syniuk
D0249,point,f0647c16-5b92-48b6-a06a-d05d86fe8145,,58,mean,58,985.0,709.0,resolved,pixel mean of Ivan and Daria clicks (disclosed mean rule),Ivan Syniuk
D0250,point,f0647c16-5b92-48b6-a06a-d05d86fe8145,,63,mean,63,720.5,42.5,resolved,pixel mean of Ivan and Daria clicks (disclosed mean rule),Ivan Syniuk
